fly_id,bin_start,genotype,sex,treatment,MT_sum,Pn_var,bin_index,state,state_label
M13_09_25_25_Ch27,2025-09-26 22:00:00,SSS,Male,VEH,0.0,0.0,156,1,Declining
M13_09_25_25_Ch27,2025-09-26 22:05:00,SSS,Male,VEH,0.0,0.0,157,1,Declining
M13_09_25_25_Ch27,2025-09-26 22:10:00,SSS,Male,VEH,0.0,0.0,158,1,Declining
M13_09_25_25_Ch27,2025-09-26 22:15:00,SSS,Male,VEH,0.0,0.0,159,1,Declining
M13_09_25_25_Ch27,2025-09-26 22:20:00,SSS,Male,VEH,0.0,0.0,160,1,Declining
M13_09_25_25_Ch27,2025-09-26 22:25:00,SSS,Male,VEH,0.0,0.0,161,1,Declining
M13_09_25_25_Ch27,2025-09-26 22:30:00,SSS,Male,VEH,0.0,0.0,162,1,Declining
M13_09_25_25_Ch27,2025-09-26 22:35:00,SSS,Male,VEH,0.0,0.0,163,1,Declining
M13_09_25_25_Ch27,2025-09-26 22:40:00,SSS,Male,VEH,0.0,0.0,164,1,Declining
M13_09_25_25_Ch27,2025-09-26 22:45:00,SSS,Male,VEH,0.0,0.0,165,1,Declining
M13_09_25_25_Ch27,2025-09-26 22:50:00,SSS,Male,VEH,0.0,0.0,166,1,Declining
M13_09_25_25_Ch27,2025-09-26 22:55:00,SSS,Male,VEH,0.0,0.0,167,1,Declining
M13_09_25_25_Ch27,2025-09-26 23:00:00,SSS,Male,VEH,0.0,0.0,168,1,Declining
M13_09_25_25_Ch27,2025-09-26 23:05:00,SSS,Male,VEH,0.0,0.0,169,2,Critical
M13_09_25_25_Ch27,2025-09-26 23:10:00,SSS,Male,VEH,0.0,0.0,170,2,Critical
M13_09_25_25_Ch27,2025-09-26 23:15:00,SSS,Male,VEH,0.0,0.0,171,1,Declining
M13_09_25_25_Ch27,2025-09-26 23:20:00,SSS,Male,VEH,0.0,0.0,172,1,Declining
M13_09_25_25_Ch27,2025-09-26 23:25:00,SSS,Male,VEH,0.0,0.0,173,1,Declining
M13_09_25_25_Ch27,2025-09-26 23:30:00,SSS,Male,VEH,0.0,0.0,174,1,Declining
M13_09_25_25_Ch27,2025-09-26 23:35:00,SSS,Male,VEH,0.0,0.0,175,1,Declining
